title,provider,certificate_type,rating,difficulty,students_enrolled,platform,price,reviews,lectures,duration,category
Building Scalable Java Microservices with Spring Boot and Spring Cloud,Google Cloud,COURSE,4.3,1.0,24k,Coursera,,,,,Unknown
Building Your Leadership Skills,HEC Paris,COURSE,4.5,,67k,Coursera,,,,,Unknown
Business Analytics,University of Pennsylvania,SPECIALIZATION,4.6,0.0,280k,Coursera,,,,,Unknown
Business English,Arizona State University,SPECIALIZATION,4.7,1.0,38k,Coursera,,,,,Unknown
Business English Communication Skills,University of Washington,SPECIALIZATION,4.7,1.0,120k,Coursera,,,,,Unknown
Business English: Networking,University of Washington,COURSE,4.7,1.0,77k,Coursera,,,,,Unknown
Business Foundations,University of Pennsylvania,SPECIALIZATION,4.7,0.0,510k,Coursera,,,,,Unknown
Business Model Innovation,HEC Paris,COURSE,4.7,,13k,Coursera,,,,,Unknown
Business Statistics and Analysis,Rice University,SPECIALIZATION,4.7,0.0,110k,Coursera,,,,,Unknown
Business Strategies for A Better World,University of Pennsylvania,SPECIALIZATION,4.7,0.0,24k,Coursera,,,,,Unknown
Business Strategy,University of Virginia,SPECIALIZATION,4.7,0.0,89k,Coursera,,,,,Unknown
Business Technology Management,Indian School of Business,SPECIALIZATION,4.5,0.0,67k,Coursera,,,,,Unknown
Business Transformation with Google Cloud,Google Cloud,COURSE,4.7,0.0,10k,Coursera,,,,,Unknown
Business Writing,University of Colorado Boulder,COURSE,4.8,0.0,48k,Coursera,,,,,Unknown
Business and Financial Modeling,University of Pennsylvania,SPECIALIZATION,4.5,0.0,160k,Coursera,,,,,Unknown
C for Everyone: Programming Fundamentals,"University of California, Santa Cruz",COURSE,4.5,0.0,31k,Coursera,,,,,Unknown
C# Programming for Unity Game Development,University of Colorado System,SPECIALIZATION,4.7,0.0,36k,Coursera,,,,,Unknown
COVID-19 Contact Tracing,Johns Hopkins University,COURSE,4.9,0.0,220k,Coursera,,,,,Unknown
COVID-19: What You Need to Know (CME Eligible),Osmosis,COURSE,4.8,0.0,32k,Coursera,,,,,Unknown
"Cameras, Exposure, and Photography",Michigan State University,COURSE,4.7,,130k,Coursera,,,,,Unknown
Camino a la Excelencia en Gestión de Proyectos,Pontificia Universidad Católica de Chile,COURSE,4.7,0.0,340k,Coursera,,,,,Unknown
"Capstone: Retrieving, Processing, and Visualizing Data with Python",University of Michigan,COURSE,4.6,,82k,Coursera,,,,,Unknown
Career Success,"University of California, Irvine",SPECIALIZATION,4.4,0.0,790k,Coursera,,,,,Unknown
Challenging Forensic Science: How Science Should Speak to Court,University of Lausanne,COURSE,4.8,0.0,31k,Coursera,,,,,Unknown
Chemicals and Health,Johns Hopkins University,COURSE,4.7,0.0,23k,Coursera,,,,,Unknown
Chicken Behaviour and Welfare,The University of Edinburgh,COURSE,4.7,,19k,Coursera,,,,,Unknown
Child Nutrition and Cooking,Stanford University,COURSE,4.7,0.0,30k,Coursera,,,,,Unknown
Chinese for HSK 1,Peking University,COURSE,4.8,0.0,22k,Coursera,,,,,Unknown
Cisco Networking Basics,Cisco,SPECIALIZATION,4.7,0.0,57k,Coursera,,,,,Unknown
Classical Sociological Theory,University of Amsterdam,COURSE,4.8,,51k,Coursera,,,,,Unknown
Claves de la Dirección de Empresas,IESE Business School,SPECIALIZATION,4.8,0.0,51k,Coursera,,,,,Unknown
Climate Change and Health: From Science to Action,Yale University,SPECIALIZATION,4.6,0.0,4.8k,Coursera,,,,,Unknown
Clinical Terminology for International and U.S. Students,University of Pittsburgh,COURSE,4.8,0.0,32k,Coursera,,,,,Unknown
Cloud Computing,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.4,1.0,110k,Coursera,,,,,Unknown
Cloud Computing Basics (Cloud 101),LearnQuest,COURSE,4.5,0.0,37k,Coursera,,,,,Unknown
Cloud Engineering with Google Cloud,Google Cloud,PROFESSIONAL CERTIFICATE,4.7,1.0,310k,Coursera,,,,,Unknown
Coaching Skills for Managers,"University of California, Davis",SPECIALIZATION,4.7,1.0,37k,Coursera,,,,,Unknown
Code Yourself! An Introduction to Programming,The University of Edinburgh,COURSE,4.7,0.0,120k,Coursera,,,,,Unknown
Communication Skills for Engineers,Rice University,SPECIALIZATION,4.7,0.0,15k,Coursera,,,,,Unknown
Communication Strategies for a Virtual Age,University of Toronto,COURSE,4.8,0.0,43k,Coursera,,,,,Unknown
